Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,..,81.3700939457665,92.8277634911895,94.704907124104,95.6230221837644,94.5093636648155,95.6437471934695,95.9173702775193,96.0956018888668,95.483714372763,96.0854287468734,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,..,81.2536678712174,92.7799106414588,94.6688585064836,95.5938136477709,94.4715748209862,95.6135456463624,95.8888561743117,96.0681260042218,95.4516981935493,96.0574946837091,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle income,MIC,..,77.2241914464206,89.696086196752,90.7294390156023,91.7562111955483,92.8952431856606,93.2814184125754,93.6247477128748,94.8336785108119,94.8582120089906,95.1583884632963,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,North America,NAC,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,OECD members,OED,99.5478013270206,99.6355291285159,99.8393577437036,99.8959370066929,99.9408590340957,99.8987734342049,99.9400729077204,99.9329803642114,100,100,99.9229805241215,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Other small states,OSS,..,71.119393429134,86.4520330481869,87.8544041310444,89.3280026877149,90.472453074168,91.8035513133262,92.8384985004429,93.8560728212472,93.9605317818207,94.5040760650772,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pacific island small states,PSS,..,55.2875180803359,78.5477895035505,79.9083422592839,82.1041734677982,82.69782730903,84.3434350882329,86.1939811336602,85.6708178235478,85.7923885063867,88.8705713618501,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Post-demographic dividend,PST,99.994396586414,99.7150166440245,99.944734188108,99.9577816688384,99.9711225773329,99.9821644449028,99.9932425348887,99.997240130312,99.9988344535565,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pre-demographic dividend,PRE,..,24.8722822039397,40.1196686715573,44.6718700054727,44.3587801999364,47.1055374833379,47.5891649924098,48.3865766205334,50.5171178994713,51.1433191693417,52.5309883201788,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Small states,SST,..,73.4058709330824,87.6813928879402,88.8486713357501,90.1550278534803,90.9647335432231,92.0919222790738,93.1195945831784,93.7468179373385,93.8522236444989,94.7999610400142,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,SAS,..,56.7664729200241,86.5327784624672,88.3184480403398,91.3983728307397,94.8192024055978,95.4698953988653,96.4013617397441,99.3693129133951,99.0895114731934,99.4087889697405,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia (IDA & IBRD),TSA,..,56.7664729200241,86.5327784624672,88.3184480403398,91.3983728307397,94.8192024055978,95.4698953988653,96.4013617397441,99.3693129133951,99.0895114731934,99.4087889697405,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,SSF,..,25.700773726639,39.1996500160838,43.8301651403807,43.7628194566177,46.4166752425457,47.1974168154517,48.5450389491045,50.6566448640617,51.5873775845363,53.2563309010663,..
